AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
0116EO40527,ISLINGTON,3,532940,184810,1,2 Passenger,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116EO40528,ISLINGTON,3,530570,184770,1,3 Pedestrian,1 Male,25-59,33,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0116EO40529,ISLINGTON,3,532220,182860,1,1 Driver/Rider,1 Male,25-59,26,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40530,ISLINGTON,3,530710,183680,1,1 Driver/Rider,1 Male,25-59,39,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40533,ISLINGTON,3,530640,185800,1,1 Driver/Rider,1 Male,25-59,35,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
0116EO40534,ISLINGTON,3,532010,182200,1,1 Driver/Rider,2 Female,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40535,ISLINGTON,3,531330,182190,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40537,ISLINGTON,3,531360,182150,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40538,ISLINGTON,3,531670,184660,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40539,ISLINGTON,3,531030,185350,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116EO40540,ISLINGTON,3,531100,183100,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40542,ISLINGTON,3,530730,186250,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0116EO40543,ISLINGTON,3,531300,186930,1,1 Driver/Rider,1 Male,25-59,57,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40544,ISLINGTON,3,530630,184450,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40545,ISLINGTON,3,529620,185930,1,1 Driver/Rider,1 Male,16-24,19,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40546,ISLINGTON,3,531580,182460,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40547,ISLINGTON,3,529050,186840,1,1 Driver/Rider,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40548,ISLINGTON,3,531010,183090,1,3 Pedestrian,2 Female,25-59,51,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0116EO40549,ISLINGTON,3,531890,186330,1,3 Pedestrian,1 Male,60+,62,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0116EO40550,ISLINGTON,3,531920,183880,1,1 Driver/Rider,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40551,ISLINGTON,3,530640,185790,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40551,ISLINGTON,3,530640,185790,2,2 Passenger,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40552,ISLINGTON,3,532350,182800,1,2 Passenger,2 Female,60+,74,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116EO40553,ISLINGTON,3,530560,185770,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40553,ISLINGTON,3,530560,185770,2,2 Passenger,2 Female,0-15,12,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40554,ISLINGTON,3,532742,182508,1,1 Driver/Rider,1 Male,60+,71,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40557,ISLINGTON,3,531820,182770,1,1 Driver/Rider,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40558,ISLINGTON,3,532740,184820,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40558,ISLINGTON,3,532740,184820,2,3 Pedestrian,1 Male,60+,60,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0116EO40560,ISLINGTON,3,532420,185100,1,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40561,ISLINGTON,3,531410,185770,1,1 Driver/Rider,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40563,ISLINGTON,3,530400,185900,1,1 Driver/Rider,2 Female,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40564,ISLINGTON,3,531480,186790,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40566,ISLINGTON,3,532730,184820,1,2 Passenger,1 Male,60+,72,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116EO40567,ISLINGTON,3,531910,182160,1,1 Driver/Rider,1 Male,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40568,ISLINGTON,3,531780,185200,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40572,ISLINGTON,3,530630,185810,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40573,ISLINGTON,3,530880,186080,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40574,ISLINGTON,3,529860,185050,2,2 Passenger,1 Male,0-15,11,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40574,ISLINGTON,3,529860,185050,1,1 Driver/Rider,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40574,ISLINGTON,3,529860,185050,3,2 Passenger,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40574,ISLINGTON,3,529860,185050,4,2 Passenger,2 Female,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40574,ISLINGTON,3,529860,185050,5,2 Passenger,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40575,ISLINGTON,3,530800,182910,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40576,ISLINGTON,3,531050,186480,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40577,ISLINGTON,3,531400,183350,1,3 Pedestrian,1 Male,25-59,43,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0116EO40590,ISLINGTON,3,531180,184190,1,1 Driver/Rider,2 Female,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40598,ISLINGTON,3,531990,182220,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40598,ISLINGTON,3,531990,182220,2,3 Pedestrian,1 Male,25-59,34,1,3 Slight,10 Unknown,1 From Drivers N/Side,1 Pedestrian, 
0116EO40602,ISLINGTON,3,531640,181980,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40609,ISLINGTON,3,531170,185210,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40611,ISLINGTON,3,530080,185350,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40612,ISLINGTON,3,531930,185530,1,3 Pedestrian,2 Female,60+,73,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0116EO40615,ISLINGTON,3,530890,182590,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40616,ISLINGTON,3,530920,183070,1,2 Passenger,2 Female,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40618,ISLINGTON,3,531950,185870,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40620,ISLINGTON,3,531770,182060,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40621,ISLINGTON,3,530510,183200,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40622,ISLINGTON,3,531570,183510,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40623,ISLINGTON,3,531250,185100,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40624,ISLINGTON,3,532780,182510,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40625,ISLINGTON,3,532730,182460,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40636,ISLINGTON,3,532690,182650,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40638,ISLINGTON,3,531090,185280,2,2 Passenger,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40638,ISLINGTON,3,531090,185280,3,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40638,ISLINGTON,3,531090,185280,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40642,ISLINGTON,3,531680,183790,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40661,ISLINGTON,3,531200,182470,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40662,ISLINGTON,3,530330,186040,1,3 Pedestrian,2 Female,25-59,52,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0116EO40673,ISLINGTON,3,531570,183510,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40694,ISLINGTON,3,531970,182280,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40698,ISLINGTON,3,531370,183440,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40706,ISLINGTON,3,531950,185840,1,1 Driver/Rider,1 Male,25-59,35,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40708,ISLINGTON,3,531430,186760,1,3 Pedestrian,1 Male,25-59,27,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0116EO40709,ISLINGTON,3,531390,186720,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40711,ISLINGTON,3,530760,186270,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40742,ISLINGTON,3,531570,182710,1,3 Pedestrian,1 Male,16-24,24,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0116EO40747,ISLINGTON,3,531690,183980,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40757,ISLINGTON,3,531480,183130,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0116EO40762,ISLINGTON,3,530700,183880,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116EO40762,ISLINGTON,3,530700,183880,2,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116EO40763,ISLINGTON,3,532570,182430,1,2 Passenger,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116EO40775,ISLINGTON,3,530260,184980,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116EO40778,ISLINGTON,3,530540,184550,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116GD10044,ISLINGTON,3,532540,182730,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116GD10094,ISLINGTON,3,532718,182480,1,2 Passenger,1 Male,60+,78,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116GD10148,ISLINGTON,3,532980,184650,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116GD10152,ISLINGTON,3,532220,182850,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116GD10251,ISLINGTON,3,532800,182482,1,2 Passenger,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116GD10318,ISLINGTON,3,532801,182489,1,2 Passenger,2 Female,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116GD10384,ISLINGTON,3,531480,186790,1,1 Driver/Rider,1 Male,60+,60,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116GD10390,ISLINGTON,3,532220,182860,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116GD10423,ISLINGTON,3,532380,186300,1,2 Passenger,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116GD10426,ISLINGTON,3,531830,186440,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116GD10434,ISLINGTON,3,532980,184650,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116GD10439,ISLINGTON,3,532460,186060,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116GD10491,ISLINGTON,3,532720,182600,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0116GD10551,ISLINGTON,3,532980,184810,1,2 Passenger,2 Female,0-15,1,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0116GD10597,ISLINGTON,3,532740,182550,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116GD10723,ISLINGTON,3,532190,182860,1,1 Driver/Rider,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116GD10772,ISLINGTON,3,532940,184810,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0116TD00053,ISLINGTON,3,530180,185520,1,3 Pedestrian,2 Female,60+,75,1,1 Fatal,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0116TD00053,ISLINGTON,3,530180,185520,2,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116YR90382,ISLINGTON,3,531200,186590,1,3 Pedestrian,2 Female,60+,62,1,2 Serious,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0116YR90421,ISLINGTON,3,531190,187060,1,3 Pedestrian,1 Male,25-59,27,1,2 Serious,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
0116YR90445,ISLINGTON,3,531230,187030,1,1 Driver/Rider,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0116YR90494,ISLINGTON,3,531350,186690,1,1 Driver/Rider,1 Male,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0116YR90551,ISLINGTON,3,531450,186780,1,3 Pedestrian,1 Male,60+,65,1,3 Slight,10 Unknown,1 From Drivers N/Side,1 Pedestrian, 
0116YR90588,ISLINGTON,3,530730,187430,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0116YR90724,ISLINGTON,3,530720,187430,2,2 Passenger,2 Female,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0116YR90724,ISLINGTON,3,530720,187430,1,1 Driver/Rider,1 Male,60+,61,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1160000079,HACKNEY,4,533260,182450,1,1 Driver/Rider,2 Female,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160000159,HACKNEY,4,532730,183340,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160000185,HACKNEY,4,534370,187005,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160000298,HACKNEY,4,533550,185530,1,1 Driver/Rider,1 Male,16-24,17,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160000303,HACKNEY,4,534420,183560,1,1 Driver/Rider,1 Male,25-59,33,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160000407,HACKNEY,4,533480,183970,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160000449,HACKNEY,4,533240,182370,1,3 Pedestrian,1 Male,16-24,24,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
1160000515,HACKNEY,4,533680,187960,1,3 Pedestrian,1 Male,0-15,10,1,3 Slight,08 In Centre Of Carriageway,2 From Drivers N/Side Msk,1 Pedestrian, 
1160000545,HACKNEY,4,532760,183280,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160000551,HACKNEY,4,533570,187850,1,3 Pedestrian,2 Female,0-15,10,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1160000576,HACKNEY,4,532780,183800,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
1160000788,HACKNEY,4,535650,183920,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160000811,HACKNEY,4,533480,182690,1,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160000863,HACKNEY,4,532330,186650,1,2 Passenger,2 Female,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1160001058,HACKNEY,4,532870,182520,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160001058,HACKNEY,4,532870,182520,2,3 Pedestrian,2 Female,16-24,19,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1160001074,HACKNEY,4,535560,185890,1,3 Pedestrian,2 Female,25-59,29,1,2 Serious,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
1160001188,HACKNEY,4,534640,186760,1,3 Pedestrian,2 Female,60+,64,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1160001217,HACKNEY,4,533260,183150,1,3 Pedestrian,1 Male,60+,63,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1160001310,HACKNEY,4,533580,182280,2,3 Pedestrian,2 Female,25-59,25,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
1160001310,HACKNEY,4,533580,182280,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160001351,HACKNEY,4,533610,186390,1,3 Pedestrian,1 Male,25-59,44,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1160001427,HACKNEY,4,533340,187920,1,3 Pedestrian,1 Male,16-24,24,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
1160001453,HACKNEY,4,533010,182540,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160001475,HACKNEY,4,537230,185430,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160001478,HACKNEY,4,533510,184670,1,3 Pedestrian,1 Male,25-59,32,1,3 Slight,09 In Road - Not Crossing,7 In Rd Facing Traffic,1 Pedestrian, 
1160001559,HACKNEY,4,536130,185180,2,2 Passenger,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1160001559,HACKNEY,4,536130,185180,1,2 Passenger,2 Female,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1160001590,HACKNEY,4,533030,182880,1,3 Pedestrian,1 Male,25-59,29,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1160001617,HACKNEY,4,533420,185060,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160001762,HACKNEY,4,534959,184793,1,3 Pedestrian,1 Male,60+,61,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1160001986,HACKNEY,4,533130,186520,1,1 Driver/Rider,2 Female,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160002131,HACKNEY,4,533480,182320,1,2 Passenger,2 Female,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1160002200,HACKNEY,4,533360,187830,1,1 Driver/Rider,1 Male,25-59,45,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160002265,HACKNEY,4,533540,185000,2,3 Pedestrian,1 Male,0-15,5,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1160002265,HACKNEY,4,533540,185000,1,3 Pedestrian,1 Male,16-24,23,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
1160002359,HACKNEY,4,533940,183550,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160002415,HACKNEY,4,533640,187620,2,3 Pedestrian,1 Male,0-15,5,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1160002415,HACKNEY,4,533640,187620,1,3 Pedestrian,1 Male,25-59,27,1,3 Slight,08 In Centre Of Carriageway,3 From Drivers O/Side,1 Pedestrian, 
1160002418,HACKNEY,4,533250,183090,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1160002468,HACKNEY,4,535060,186260,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160002521,HACKNEY,4,533890,186020,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160002551,HACKNEY,4,533680,187940,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160002867,HACKNEY,4,535220,185420,1,3 Pedestrian,1 Male,25-59,49,1,3 Slight,08 In Centre Of Carriageway,5 In Rd Not Crossing,1 Pedestrian, 
1160002868,HACKNEY,4,534120,186620,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160002955,HACKNEY,4,533860,184800,1,1 Driver/Rider,1 Male,25-59,36,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1160002984,HACKNEY,4,534860,186090,1,2 Passenger,2 Female,60+,67,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1160002993,HACKNEY,4,533610,186390,1,3 Pedestrian,1 Male,60+,66,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1160003083,HACKNEY,4,533100,183570,1,1 Driver/Rider,2 Female,25-59,33,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160003108,HACKNEY,4,533560,185180,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160003235,HACKNEY,4,535060,184830,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160003281,HACKNEY,4,533650,186980,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1160003383,HACKNEY,4,533270,186570,1,3 Pedestrian,2 Female,16-24,21,1,3 Slight,08 In Centre Of Carriageway,1 From Drivers N/Side,1 Pedestrian, 
1160003414,HACKNEY,4,535230,184200,1,3 Pedestrian,2 Female,25-59,28,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1160003496,HACKNEY,4,533570,186030,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160003507,HACKNEY,4,533650,186880,1,3 Pedestrian,1 Male,16-24,23,1,2 Serious,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
1160003511,HACKNEY,4,535390,184310,1,1 Driver/Rider,2 Female,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1160003563,HACKNEY,4,532970,187950,1,1 Driver/Rider,1 Male,16-24,19,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
